award_id,tender_id,project_name,contractor,contract_amount,contract_date,participants_count,prefecture,municipality,use_type,floor_area_m2,bid_method,evaluation_score,price_score
AWD-2024-00011,TND-2024-00011,庁舎清掃等環境衛生管理業務請負契約,東洋建設株式会社,2350000,2025-03-06,25,福岡県,城南区,庁舎,100,指名競争入札,,
AWD-2024-00012,TND-2024-00012,兵庫国道事務所管内車両計測設備等点検整備業務,オムロンフィールドエンジニアリング株式会社,32800000,2024-04-01,13,兵庫県,中央地区,施設,100,一般競争入札,,
AWD-2024-00013,TND-2024-00013,令和７年度　群馬労働局管内１０施設で使用する電力（低圧・従量）供給契約【再公告】,大林組株式会社,10788025,2025-02-17,16,群馬県,市街地,施設,100,随意契約,,
AWD-2024-00014,TND-2024-00014,室蘭開発建設部管内　多重無線通信回線用装置外保守点検,電通設備株式会社,33200000,2024-04-01,2,奈良県,北部地区,施設,100,総合評価方式,82.6,41.8
AWD-2024-00015,TND-2024-00015,定山渓ダム水質自動計測装置保守点検（豊平川ダム統合管理事務所）,株式会社岩崎,4380000,2024-04-01,20,神奈川県,川崎市高津区,施設,100,随意契約,,
AWD-2024-00016,TND-2024-00016,令和６年度宮城刑務所太陽光発電設備計測・表示システム更新契約,太平電気株式会社,1850000,2025-01-08,5,宮城県,中央地区,施設,100,随意契約,,
AWD-2024-00017,TND-2024-00017,北海道森林管理局第1四半期集中調達現場用品類,株式会社カワバタ,7063000,2024-06-20,23,北海道,市街地,施設,100,指名競争入札,,
AWD-2024-00018,TND-2024-00018,札幌家簡裁庁舎構内交換設備改修工事,扶桑電通株式会社,10300000,2024-10-24,20,鹿児島県,郊外地区,庁舎,100,指名競争入札,,
AWD-2024-00019,TND-2024-00019,令和６年度　第１号　米代東部森林管理署構内除排雪作業,株式会社オオタベ,1820000,2024-11-21,18,奈良県,西部地区,施設,100,総合評価方式,66.2,96.4
AWD-2024-00020,TND-2024-00020,最高裁判所庁舎清掃,新さくら会協同組合,23400000,2025-02-06,6,宮城県,市街地,庁舎,100,総合評価方式,74.2,84.2
AWD-2024-00021,TND-2024-00021,福岡港湾合同庁舎一般廃棄物処理業務委託,竹中工務店株式会社,1340131,2025-02-17,22,福岡県,東区,庁舎,100,総合評価方式,78.9,74.9
AWD-2024-00022,TND-2024-00022,（X-006）庁舎廃棄物収集運搬及び処分役務（ガラス・陶磁器くず）（単価契約）,広陽サービス株式会社,1046400,2025-01-24,3,徳島県,市街地,庁舎,100,一般競争入札,,
AWD-2024-00023,TND-2024-00023,新千歳空港出国待機施設警備監視業務委託契約,セントラルリーシングシステム株式会社,1408059,2025-03-17,10,大阪府,中央区,施設,100,指名競争入札,,
AWD-2024-00024,TND-2024-00024,庁舎等の清掃業務（第３コース　税務大学校札幌研修所）,株式会社ふれあいサポート,2027500,2025-02-20,10,愛媛県,南部地区,庁舎,100,随意契約,,
AWD-2024-00025,TND-2024-00025,令和７年度 立川防災合同庁舎設備等点検及び保守業務,株式会社トーカンオリエンス,10400000,2025-03-10,4,千葉県,松戸市,庁舎,100,総合評価方式,78.3,60.3
AWD-2024-00026,TND-2024-00026,令和６年度富山河川国道事務所消融雪設備等点検整備業務,株式会社日東,65600000,2024-04-01,8,富山県,東部地区,施設,161,一般競争入札,,
AWD-2024-00027,TND-2024-00027,運用第１課執務室の整備,飛島建設株式会社,42186100,2025-01-22,8,山口県,中央地区,施設,148,一般競争入札,,
AWD-2024-00028,TND-2024-00028,大津地裁庁舎他設備保守等業務,株式会社タクミサービス,12996000,2025-02-17,3,福岡県,久留米市,庁舎,100,指名競争入札,,
AWD-2024-00029,TND-2024-00029,令和7年度空調設備保守点検業務委託契約（県北地区）,三菱電機ビルソリューションズ株式会社,2436000,2025-03-11,8,東京都,中野区,施設,100,随意契約,,
AWD-2024-00030,TND-2024-00030,令和6年度車両管理業務（熊本県・宮崎県・鹿児島県）,東亜建設工業株式会社,4770000,2024-04-01,2,熊本県,南部地区,施設,100,随意契約,,
AWD-2024-00031,TND-2024-00031,【四万十森林管理署】物件番号１　松くい虫防除事業（入野東浜林・西浜林国有林104い林小班　樹幹注入作業）,永和実業株式会社,2838000,2024-12-11,17,高知県,市街地,施設,100,一般競争入札,,
AWD-2024-00032,TND-2024-00032,庁舎環境衛生維持管理業務（岡山東税務署及び福山税務署）,都市環境サービス株式会社,1234800,2025-03-03,8,岡山県,中央地区,庁舎,100,一般競争入札,,
AWD-2024-00033,TND-2024-00033,那覇空港TAPS設置工事外１件実施設計,大林組株式会社,10500000,2024-11-21,12,神奈川県,川崎市高津区,施設,100,一般競争入札,,
AWD-2024-00034,TND-2024-00034,河川映像配信設備維持管理作業,大成建設株式会社,1600000,2024-04-01,25,鹿児島県,西部地区,施設,100,一般競争入札,,
AWD-2024-00035,TND-2024-00035,栃木地方合同庁舎内装改修工事設計業務委託,有限会社クワヤマコンストラクション,1370000,2024-06-21,18,栃木県,南部地区,庁舎,100,総合評価方式,98.7,45.6
AWD-2024-00036,TND-2024-00036,稚内開発建設部管内　海象観測装置点検整備,株式会社岩崎,15700000,2024-07-24,7,東京都,港区,施設,100,一般競争入札,,
AWD-2024-00037,TND-2024-00037,柏崎地方合同庁舎における施設管理・運営業務委託契約,熊谷組株式会社,3642000,2025-02-20,24,愛知県,港区,庁舎,100,随意契約,,
AWD-2024-00038,TND-2024-00038,標体修理（第二回）（整備）,愛知造船株式会社,12400000,2024-07-23,3,千葉県,市川市,施設,100,一般競争入札,,
AWD-2024-00039,TND-2024-00039,出雲地方合同庁舎吸収式冷温水機伝熱管及び凝縮器水室取替工事,奥村組株式会社,16945800,2024-05-13,17,愛知県,守山区,庁舎,100,一般競争入札,,
AWD-2024-00040,TND-2024-00040,令和６年度管理施設消防用設備保守点検（武雄河川事務所）,五洋建設株式会社,1980000,2024-06-14,20,大分県,郊外地区,施設,100,一般競争入札,,
AWD-2024-00041,TND-2024-00041,令和７年度熊本第二合同庁舎ほか２庁エレベーター保守点検業務契約,日本オーチス・エレベータ株式会社,2160000,2025-02-27,2,熊本県,南部地区,庁舎,100,随意契約,,
AWD-2024-00042,TND-2024-00042,令和６年度岩手南部森林管理署遠野支署「森林環境保全整備事業（袋畑地区）」,安藤・間株式会社,77000000,2025-02-28,18,岩手県,西部地区,施設,223,随意契約,,
AWD-2024-00043,TND-2024-00043,門司港湾合同庁舎ほか４庁舎清掃業務委託,有限会社スマイルクリーン,7021500,2025-03-03,21,富山県,郊外地区,庁舎,100,一般競争入札,,
AWD-2024-00044,TND-2024-00044,令和７年度第１四半期多摩地区矯正施設自動車用燃料等供給契約,出光リテール販売株式会社,1750680,2025-03-18,25,愛知県,南区,施設,100,総合評価方式,69.7,49.6
AWD-2024-00045,TND-2024-00045,鳥取地家簡裁庁舎新営建築工事 （再度）,株式会社熊谷組,2821000000,2025-02-13,11,鳥取県,北部地区,庁舎,5658,指名競争入札,,
AWD-2024-00046,TND-2024-00046,摺上川ダム堤体観測設備保守点検業務,株式会社拓和,12800000,2025-03-13,20,大阪府,西区,施設,100,指名競争入札,,
AWD-2024-00047,TND-2024-00047,保険医療機関等管理システムに係る工程管理支援等一式（令和6年度開始）,三井住友建設株式会社,157000000,2024-06-19,15,埼玉県,川越市,病院,252,総合評価方式,83.6,74.9
AWD-2024-00048,TND-2024-00048,令和７年度エレベーター設備保守管理業務,奥村組株式会社,2052000,2025-02-14,12,沖縄県,東部地区,施設,100,一般競争入札,,
AWD-2024-00049,TND-2024-00049,よこはま新港合同庁舎における電力供給単価契約,株式会社Ｕ－ＰＯＷＥＲ,105140036,2024-12-09,9,福岡県,城南区,庁舎,234,指名競争入札,,
AWD-2024-00050,TND-2024-00050,東京国際空港34R-ILS更新整備基本設計,株式会社日本空港コンサルタンツ,20880000,2024-10-08,10,東京都,新宿区,施設,100,一般競争入札,,
AWD-2024-00051,TND-2024-00051,研究交流センター施設の電気及び機械設備等の保全管理業務　一式,セントラルビルテック株式会社,6753480,2025-03-12,8,埼玉県,上尾市,公民館,100,指名競争入札,,
AWD-2024-00052,TND-2024-00052,第１号仙台森林管理署　収穫調査委託（Ｒ６　宮城南部地区１）,一般財団法人日本森林林業振興会,4550000,2024-08-02,17,宮城県,中央地区,施設,100,一般競争入札,,
AWD-2024-00053,TND-2024-00053,宮城北部森林管理署 第2号 建設機械等チャーター単価契約（米川地区）,株式会社グリーンパル石巻,642500,2024-04-26,16,宮城県,西部地区,施設,100,総合評価方式,65.7,60.3
AWD-2024-00054,TND-2024-00054,空気調和設備等保守業務,株式会社新東美装,15600000,2025-02-18,14,大阪府,西区,施設,100,随意契約,,
AWD-2024-00055,TND-2024-00055,令和７年度名古屋刑務所等自家用工作物保安管理業務等委託契約,熊谷組株式会社,2916000,2025-03-13,20,大阪府,天王寺区,施設,100,随意契約,,
AWD-2024-00056,TND-2024-00056,06-0042-0078中央合同庁舎第２号館非常用発電設備用ガスタービンエンジンの交換及び 制御装置等更新作業の請負,アズビル株式会社,96600000,2024-07-09,21,神奈川県,相模原市,庁舎,271,随意契約,,
AWD-2024-00057,TND-2024-00057,令和6年度　第1号　岩手南部森林管理署　油類単価供給契約（水沢）,ネクサスエナジー株式会社,1560000,2024-09-02,3,岩手県,東部地区,施設,100,総合評価方式,84.3,87.1
AWD-2024-00058,TND-2024-00058,渡島森林管理署　第２号物件　デジタル広幅複合機賃貸借契約,安藤・間株式会社,1794000,2025-03-13,25,千葉県,柏市,施設,100,一般競争入札,,
AWD-2024-00059,TND-2024-00059,令和６年度新千歳空港事務所札幌分室庁舎清掃作業,株式会社清風堂,5980000,2024-04-02,15,千葉県,千葉市中央区,庁舎,100,総合評価方式,65.4,47.7
AWD-2024-00060,TND-2024-00060,三陸北部森林管理署　第１号　ナラ枯れ防除事業請負（豊間根地区外）,宮古地区国有林材生産協同組合,4000000,2025-01-08,24,山梨県,郊外地区,施設,100,随意契約,,
AWD-2024-00061,TND-2024-00061,関東信越国税局が管理する合同庁舎における施設管理・運営業務（区分２　栃木地方合同庁舎）,三井住友建設株式会社,8400000,2025-03-28,5,栃木県,中央地区,庁舎,100,総合評価方式,77.3,71.8
AWD-2024-00062,TND-2024-00062,家畜防疫マップシステム更改等業務（飼養衛生管理等支援システム）,株式会社ユー・エス・イー,93000000,2024-04-05,14,茨城県,中央地区,施設,280,一般競争入札,,
AWD-2024-00063,TND-2024-00063,第１号　米代東部森林管理署上小阿仁支署　収穫調査委託（上小阿仁地区）,一般財団法人日本森林林業振興会,27100000,2024-05-07,22,兵庫県,郊外地区,施設,100,随意契約,,
AWD-2024-00064,TND-2024-00064,令和６年度　野村ダム施設改良上流仮締切設備施工歩掛調査作業,株式会社建設技術研究所,2810000,2024-10-10,14,大阪府,淀川区,施設,100,指名競争入札,,
AWD-2024-00065,TND-2024-00065,(24)本牧元町住宅外壁改修その他工事,株式会社エスシープランニング,69000000,2024-06-20,22,群馬県,北部地区,住宅,236,一般競争入札,,
AWD-2024-00066,TND-2024-00066,第３号物件　令和６年度【阿寒・白糠地区】林道除雪用建設機械賃貸借（単価契約）（根釧西部署）,有限会社高原重機,1024000,2024-11-19,4,東京都,墨田区,施設,100,指名競争入札,,
AWD-2024-00067,TND-2024-00067,雄物川上流ゲート設備点検整備業務,奥村組株式会社,38900000,2024-04-01,5,青森県,西部地区,施設,132,一般競争入札,,
AWD-2024-00068,TND-2024-00068,令和６年度新冠地区建設機械賃貸借単価契約（日高南部署）,有限会社名須川林業,9340000,2024-04-15,22,茨城県,西部地区,施設,100,一般競争入札,,
AWD-2024-00069,TND-2024-00069,【関東地方整備局、本局】Ｒ５道路管理用静止画サーバ１式製造,飛島建設株式会社,82200000,2024-07-12,5,長野県,北部地区,道路,1896,随意契約,,
AWD-2024-00070,TND-2024-00070,【特許庁】特許庁本庁舎８階南執務室改修工事（電気設備工事）　一式,東光電気工事株式会社,5300000,2025-02-28,21,大阪府,西区,庁舎,100,総合評価方式,77.0,85.4
AWD-2024-00071,TND-2024-00071,旭川地方検察庁複写機交換契約及び同複写機保守管理請負契約,株式会社大江商店,6354000,2025-02-28,3,東京都,中野区,施設,100,総合評価方式,91.7,77.1
AWD-2024-00072,TND-2024-00072,電気通信施設保守業務（福島）,竹中工務店株式会社,215000000,2024-04-01,24,福島県,市街地,施設,745,総合評価方式,77.4,46.4
AWD-2024-00073,TND-2024-00073,東京国際空港立体駐車場（Ｐ３）空気調和設備工事,ヤマケンビルテックサービス株式会社,195000000,2025-02-04,15,東京都,目黒区,施設,477,総合評価方式,74.8,92.2
AWD-2024-00074,TND-2024-00074,令和７年度合同宿舎（単価契約）各所補修工事 （福井地区）,明電設備株式会社,5872000,2025-03-19,14,福井県,西部地区,住宅,100,随意契約,,
AWD-2024-00075,TND-2024-00075,令和６年度　車両管理業務（徳島東部地区）,日本道路興運株式会社,10780000,2024-04-01,24,徳島県,南部地区,施設,100,総合評価方式,64.8,97.0
AWD-2024-00076,TND-2024-00076,倶知安開発事務所（蘭越分庁舎）　庁舎で使用する電気（低圧）,リエスパワーネクスト株式会社,3084662,2024-12-12,5,福岡県,博多区,庁舎,100,指名競争入札,,
AWD-2024-00077,TND-2024-00077,北見農業事務所雄武分庁舎　複合機借入及び保守（単価契約）,大洋事務機株式会社,2232960,2024-04-04,21,埼玉県,春日部市,庁舎,100,一般競争入札,,
AWD-2024-00078,TND-2024-00078,東京出入国在留管理局におけるＡＩ翻訳及び電話通訳等業務委託契約,前田建設工業株式会社,1946400,2025-02-06,18,東京都,品川区,施設,100,一般競争入札,,
AWD-2024-00079,TND-2024-00079,令和７年度　道の駅「津かわげ」浄化槽維持管理業務,フジタ株式会社,2970000,2025-03-27,14,埼玉県,上尾市,施設,100,一般競争入札,,
AWD-2024-00080,TND-2024-00080,令和７年度留萌北部森林管理署天塩地区燃料類単価契約（第１号物件）,株式会社水口商店,1279500,2025-03-17,16,岐阜県,市街地,施設,100,一般競争入札,,
AWD-2024-00081,TND-2024-00081,定期刊行物（建設マネジメント技術外）購入,一般財団法人経済調査会,4171400,2024-04-01,14,東京都,中野区,施設,100,随意契約,,
AWD-2024-00082,TND-2024-00082,【利根沼田森林管理署】４号物件　獣害対策事業用品,株式会社大崎商店,1089000,2024-11-19,18,埼玉県,川越市,施設,100,指名競争入札,,
AWD-2024-00083,TND-2024-00083,柿其国有林外 森林環境保全整備事業 南木曽１,清水建設株式会社,18300000,2025-03-12,3,島根県,南部地区,施設,100,総合評価方式,97.5,45.0
AWD-2024-00084,TND-2024-00084,令和６年度　国営造成施設水利管理事業　自動計測機器保守管理業務,株式会社ウイジン,1799000,2024-08-27,4,福岡県,東区,施設,100,指名競争入札,,
AWD-2024-00085,TND-2024-00085,令和７年度 今の山ＡＲＳＲ外１カ所機械設備保全業務,有限会社高橋設備,1450000,2025-03-12,25,秋田県,南部地区,施設,100,総合評価方式,98.9,74.7
AWD-2024-00086,TND-2024-00086,令和７年度広島家庭裁判所庁舎警備業務,株式会社クリエイタス,1968000,2025-02-26,10,広島県,市街地,庁舎,100,総合評価方式,88.4,41.6
AWD-2024-00087,TND-2024-00087,令和７年度一宮労働総合庁舎他５署所日常・定期清掃業務委託契約,東亜建設工業株式会社,3433850,2025-02-20,7,千葉県,市川市,庁舎,100,総合評価方式,83.3,84.1
AWD-2024-00088,TND-2024-00088,ネットワーク設備製造及び据付調整1式,富士通株式会社,61500000,2024-08-09,11,福岡県,中央区,施設,132,総合評価方式,62.0,84.8
AWD-2024-00089,TND-2024-00089,【利根沼田森林管理署】令和６度素材検知業務請負事業,株式会社あすなろ,4999566,2024-04-24,19,神奈川県,横浜市西区,施設,100,随意契約,,
AWD-2024-00090,TND-2024-00090,（再公告）【上越森林管理署】焼山川外土石流監視施設保守点検外業務,国土防災技術株式会社,5000000,2024-12-11,12,愛知県,中村区,施設,100,随意契約,,
AWD-2024-00091,TND-2024-00091,【佐賀森林管理署】建設機械借上単価契約（三瀬・唐津地区）,野田建設株式会社,1790000,2024-05-23,25,佐賀県,南部地区,施設,100,随意契約,,
AWD-2024-00092,TND-2024-00092,高知地家簡裁庁舎電気設備改修工事,山下電機株式会社,3700000,2025-03-03,14,高知県,南部地区,庁舎,100,一般競争入札,,
AWD-2024-00093,TND-2024-00093,研究交流センター施設の警備保安業務　一式,株式会社セフテック,3874920,2025-03-10,23,大阪府,浪速区,公民館,100,総合評価方式,60.1,46.9
AWD-2024-00094,TND-2024-00094,【熊本森林管理署】2号物件：造林事業（下刈外1）請負,地想株式会社,7546000,2024-05-14,20,熊本県,市街地,施設,100,随意契約,,
AWD-2024-00095,TND-2024-00095,【北薩森林管理署】（1号物件）大川内国有林森林整備事業（保育間伐【活用型】）請負  ：総合評価落札方式,株式会社永田林業,41000000,2024-04-24,22,長崎県,中央地区,保育園,122,総合評価方式,83.2,76.1
AWD-2024-00096,TND-2024-00096,【香川森林管理事務所】令和７年度 香川森林管理事務所庁舎清掃作業,株式会社オークスコーポレーション,690000,2025-03-12,8,香川県,南部地区,庁舎,100,一般競争入札,,
AWD-2024-00097,TND-2024-00097,発電設備の保守点検,株式会社横浜オーメック,4740000,2024-11-28,3,千葉県,千葉市中央区,施設,100,指名競争入札,,
AWD-2024-00098,TND-2024-00098,横浜法務合同庁舎等庁舎清掃等業務委託契約,清水建設株式会社,6426000,2024-08-16,13,東京都,文京区,庁舎,100,一般競争入札,,
AWD-2024-00099,TND-2024-00099,名古屋法務合同庁舎及び法務総合研究所名古屋支所各構内の除草及び樹木剪定業務委託契約,葵造園株式会社,6000000,2025-02-21,12,高知県,西部地区,庁舎,100,指名競争入札,,
AWD-2024-00100,TND-2024-00100,福江地方合同庁舎電気需給,フジタ株式会社,1300983,2024-12-17,9,東京都,中央区,庁舎,100,一般競争入札,,
AWD-2024-00101,TND-2024-00101,中央合同庁舎第５号館本館庁舎で使用するガス,東京瓦斯株式会社,98624201,2025-02-07,13,長崎県,中央地区,庁舎,261,一般競争入札,,
AWD-2024-00102,TND-2024-00102,オイルセパレーターほか２６点の買入（巡視艇いせゆきW4整備部品）（船技）,富永物産株式会社,4600000,2024-09-13,7,千葉県,船橋市,施設,100,一般競争入札,,
AWD-2024-00103,TND-2024-00103,令和７年度経済産業省総合庁舎排水槽等廃棄物収集運搬業務,株式会社敬隣舎,1360000,2025-03-18,4,佐賀県,市街地,庁舎,100,総合評価方式,78.3,66.6
AWD-2024-00104,TND-2024-00104,特別史跡山田寺跡総合説明板改修整備業務　一式,大林組株式会社,3200000,2024-12-16,19,静岡県,南部地区,施設,100,総合評価方式,82.3,78.0
AWD-2024-00105,TND-2024-00105,災害・危機管理通報サービスの島嶼国への展開に関する実証・調査,パシフィックコンサルタンツ株式会社,10950000,2024-09-10,6,東京都,千代田区,施設,100,指名競争入札,,
AWD-2024-00106,TND-2024-00106,岩国刑務所庁舎エントランス等ＬＥＤ更新整備契約,東洋建設株式会社,1620000,2025-01-31,23,埼玉県,上尾市,庁舎,100,指名競争入札,,
AWD-2024-00107,TND-2024-00107,東京国際空港進入灯橋梁補修実施設計,日本工営株式会社,37800000,2024-05-29,20,東京都,渋谷区,道路,568,指名競争入札,,
AWD-2024-00108,TND-2024-00108,京都地方・簡易裁判所入庁検査及び同施設警備業務,セキュリナ・セキュリティー・サービス株式会社,29948256,2025-02-05,16,京都府,北部地区,施設,100,一般競争入札,,
AWD-2024-00109,TND-2024-00109,金沢港湾合同庁舎他４庁舎において使用する電気の需給,バンプーパワートレーディング合同会社,14619534,2024-07-17,15,秋田県,北部地区,庁舎,100,指名競争入札,,
AWD-2024-00110,TND-2024-00110,高圧空気圧縮機（巡視艇ゆふぎり）点検整備,神山産業株式会社,1200000,2024-08-26,13,神奈川県,川崎市高津区,施設,100,総合評価方式,83.3,96.0
AWD-2024-00111,TND-2024-00111,令和6年度　庄内川水質監視設備保守点検作業,株式会社ジェイ・サイエンス東海,32000000,2025-03-12,16,千葉県,千葉市花見川区,施設,100,指名競争入札,,
AWD-2024-00112,TND-2024-00112,06-0049-0166情報通信分野の国際標準化機関における主要ポストの確保・維持のための専門人材育成及び標準化人材の中小・スタートアップ・大学への裾野拡大に資する調査等の～,株式会社エヌ・ティ・ティ・データ経営研究所,169000000,2024-08-27,13,愛知県,瑞穂区,学校,445,指名競争入札,,
AWD-2024-00113,TND-2024-00113,６年度網走南部署【東藻琴・美幌地区】保全整備（保育間伐等）第８号,佐藤林業株式会社,189000000,2025-02-21,8,福岡県,久留米市,保育園,702,随意契約,,
AWD-2024-00114,TND-2024-00114,武蔵府中税務署自動火災報知設備受信機改修工事,株式会社新東京防災,5550000,2024-06-25,11,福岡県,早良区,施設,100,指名競争入札,,
AWD-2024-00115,TND-2024-00115,【愛媛署】物件番号５　砕石製品（南宇和郡愛南町内の国有林林道等維持修繕用）,有限会社上岡産業,584000,2024-05-20,11,愛媛県,南部地区,施設,100,随意契約,,
AWD-2024-00116,TND-2024-00116,大戸川ダム工事事務所電気通信施設保守業務,岸本無線工業株式会社,2900000,2024-04-19,21,福島県,北部地区,施設,100,指名競争入札,,
AWD-2024-00117,TND-2024-00117,航空保安無線施設雷・座標変動監視ソフトウェア（MALCO）用クライアントPC13台外2件の購入,加賀ソルネット株式会社,1608600,2025-02-21,17,福岡県,早良区,施設,100,随意契約,,
AWD-2024-00118,TND-2024-00118,漁川ダム水質自動観測設備保守点検（千歳川河川事務所）,株式会社岩崎,3980000,2025-03-05,12,群馬県,郊外地区,施設,100,随意契約,,
AWD-2024-00119,TND-2024-00119,令和６年度環境省建設工事競争入札参加資格審査システム（令和７・８年度申請用）プログラム改修等業務,ＨＬ株式会社,3400000,2024-12-17,25,東京都,江東区,施設,100,指名競争入札,,
AWD-2024-00120,TND-2024-00120,監視艇しまかぜ機関部中間検査整備請負契約　一式,株式会社沖縄機械整備,38700000,2024-12-03,23,神奈川県,横浜市西区,施設,119,総合評価方式,68.8,79.5
AWD-2024-00121,TND-2024-00121,福岡航空交通管制部消防設備修繕工事,熊谷組株式会社,1650000,2025-01-08,17,福岡県,南区,施設,100,指名競争入札,,
AWD-2024-00122,TND-2024-00122,麻薬取締部捜査情報管理分析システム（NIIMAS）の改修に係 るデータベース及びアプリケーションプログラムの設計・開発 等一式,ＮＥＣネクサソリューションズ株式会社,135140000,2024-07-26,2,鹿児島県,西部地区,施設,362,一般競争入札,,
AWD-2024-00123,TND-2024-00123,【関東地方整備局、富士川砂防事務所】Ｒ６富士川砂防管内観測設備保守点検及びデータ回収整理業務,昭和測量株式会社,12900000,2024-04-01,2,奈良県,東部地区,施設,100,一般競争入札,,
AWD-2024-00124,TND-2024-00124,【静岡森林管理署】富士山地区（上井出・表富士エリア）車両系建設機械チャーター等単価契約,佐野藤建設株式会社,7450000,2024-04-19,25,静岡県,市街地,施設,100,随意契約,,
AWD-2024-00125,TND-2024-00125,６年度網走西部署【上白滝地区その１】保全整備（保育間伐）第７号,井上産業株式会社,48000000,2024-08-21,17,愛知県,中村区,保育園,184,一般競争入札,,
AWD-2024-00126,TND-2024-00126,鹿児島森林管理署  造林事業（下刈作業）請負,株式会社迫田興産,14750000,2024-05-28,12,鹿児島県,中央地区,施設,100,一般競争入札,,
AWD-2024-00127,TND-2024-00127,令和７年度庁舎清掃請負(一式)　由利森林管理署,有限会社メンテックス,1260000,2025-03-14,3,熊本県,郊外地区,庁舎,100,指名競争入札,,
AWD-2024-00128,TND-2024-00128,盛岡森林管理署　森林環境保全整備事業（金沢山国有林）(再公告),有限会社白椛林業,85398000,2024-05-31,10,宮崎県,郊外地区,施設,304,総合評価方式,75.1,44.2
AWD-2024-00129,TND-2024-00129,横浜第２合同庁舎　廃棄物等処理業務（単価契約）,東亜建設工業株式会社,6034672,2025-03-19,15,熊本県,東部地区,庁舎,100,随意契約,,
AWD-2024-00130,TND-2024-00130,標体整備（関門第３回）,有限会社田島工業所,10000000,2024-09-06,20,長崎県,南部地区,施設,100,指名競争入札,,
AWD-2024-00131,TND-2024-00131,令和６年度　長安口ダム管理所庁舎清掃外業務,有限会社ニューパワー,3916000,2024-04-01,14,千葉県,船橋市,庁舎,100,随意契約,,
AWD-2024-00132,TND-2024-00132,大分空港自動化トラクタ車庫外1 棟新築工事監理業務,鉄建建設株式会社,3600000,2024-10-24,9,大分県,郊外地区,施設,100,一般競争入札,,
AWD-2024-00133,TND-2024-00133,【関東森林管理局】令和６年度三国山地/赤谷川・生物多様性復元計画推進事業,公益財団法人日本自然保護協会,18990000,2024-04-18,12,大阪府,住吉区,施設,100,随意契約,,
AWD-2024-00134,TND-2024-00134,岩手北部森林管理署　第2号　収穫調査委託（松尾・小鳥谷地区）,清水建設株式会社,25760000,2024-04-25,3,岩手県,市街地,施設,100,総合評価方式,84.0,62.7
AWD-2024-00135,TND-2024-00135,令和６年度　那覇空港事務所庁舎等清掃業務（その２）,株式会社ジャパン総合ビル管理,7840000,2024-09-02,15,東京都,江東区,庁舎,100,一般競争入札,,
AWD-2024-00136,TND-2024-00136,令和６年度 中部技術橋梁点検車(歩廊式)点検整備,大成建設株式会社,5900000,2024-04-01,20,宮崎県,西部地区,道路,100,一般競争入札,,
AWD-2024-00137,TND-2024-00137,火山観測施設の点検及び環境整備,株式会社九州山光社,8890000,2024-09-19,18,千葉県,柏市,施設,100,総合評価方式,67.3,74.0
AWD-2024-00138,TND-2024-00138,【西都児湯森林管理署】建設機械借上単価契約（都農・川南地区）,株式会社七組,4892000,2024-05-10,19,山口県,東部地区,施設,100,総合評価方式,77.8,41.2
AWD-2024-00139,TND-2024-00139,ホームページ運用管理業務,株式会社サングラフィックス,1780000,2024-04-11,18,秋田県,市街地,施設,100,指名競争入札,,
AWD-2024-00140,TND-2024-00140,令和６年度自動係留装置外２点機能維持点検業務,ジャパンマリンユナイテッド株式会社,8500000,2024-10-21,8,福岡県,西区,施設,100,一般競争入札,,
